1,Population and Household Characteristics,1.01,Indicators on Population
1,Population and Household Characteristics,1.02,Basic Demographic Characteristics
1,Population and Household Characteristics,1.03,Fertility
1,Population and Household Characteristics,1.04,Live-Births
1,Population and Household Characteristics,1.05,Still-Births
1,Population and Household Characteristics,1.06,Deaths
1,Population and Household Characteristics,1.07,Marriages
1,Population and Household Characteristics,1.08,Divorces
1,Population and Household Characteristics,1.09,Singles
1,Population and Household Characteristics,1.1,Elderly Population
1,Population and Household Characteristics,1.11,"Education, Language and Religion"
1,Population and Household Characteristics,1.12,Transport and Overseas Travel
1,Population and Household Characteristics,1.13,Economic Characteristics
1,Population and Household Characteristics,1.14,Geographic Distribution
1,Population and Household Characteristics,1.15,Household and Housing
1,Population and Household Characteristics,1.16,Electorate Information
1,Population and Household Characteristics,1.17,People Hub Data
1,Population and Household Characteristics,1.18,"Student's Pass, Visit Pass and Visas"
2,Manpower,2.01,Labour Force
2,Manpower,2.02,Central Provident Fund
2,Manpower,2.03,"Labour Turnover, Retrenchments, Job Vacancies and Employment Service"
2,Manpower,2.04,Skills Training
2,Manpower,2.05,"Employment, Hours Worked and Conditions of Employment"
2,Manpower,2.06,Labour Relations
2,Manpower,2.07,Workplace Safety and Health
2,Manpower,2.08,Employment of Seniors
2,Manpower,2.09,Stock
3,Education,3.01,Indicators on Education and Literacy
3,Education,3.02,Government Expenditure on Education
3,Education,3.03,Government Recurrent Expenditure on Education Per Student
3,Education,3.04,"Students, Graduates and Teachers/ Lecturers in Educational Institutions, Exclude Private Schools"
3,Education,3.05,Students and Teachers in Private Regular Schools
3,Education,3.06,Enrolment in MOE Pre-schools
3,Education,3.07,Enrolment in Primary Schools
3,Education,3.08,Enrolment in Secondary Schools
3,Education,3.09,Enrolment in Junior Colleges and Pre-Universities
3,Education,3.1,Intake of Students/Trainees in ITE
3,Education,3.11,Students/Trainees Who Completed Programmes in ITE
3,Education,3.12,Training Places Taken Up by Workers in ITE
3,Education,3.13,Workers Who Completed Programmes in ITE
3,Education,3.14,Enrolment in Polytechnics
3,Education,3.15,Graduates from Polytechnics
3,Education,3.16,Information on Student and Graduate Services in Polytechnics
3,Education,3.17,Enrolment in National Institute of Education
3,Education,3.18,Enrolment in Universities
3,Education,3.19,Graduates from Universities
3,Education,3.2,"Intake, Enrolment and Graduates of LASALLE and NAFA"
3,Education,3.21,Student Participation in Local/ Overseas Attachments/ Exchanges
3,Education,3.22,Educational Collaborations Between Local and Overseas Educational Institutions
3,Education,3.23,Examinations Data
3,Education,3.24,Courses and Training Offered
3,Education,3.25,Information on Scholars
3,Education,3.26,Information on Scholarships
3,Education,3.27,Information on School Financial Matters
3,Education,3.28,General Information on Educational Institutions
4,Health,4.01,Health Status - Mortality
4,Health,4.02,Health Status - Notifications of Notifiable Diseases
4,Health,4.03,Health Care Prevention - Vaccinations & Immunisations of Children
4,Health,4.04,Disease Prevention - Obesity Among School Children
4,Health,4.05,Health Care Resources - Manpower
4,Health,4.06,Health Care Resources - Infrastructure
4,Health,4.07,Health Care Utilisation - Hospital Admissions
4,Health,4.08,Health Care Utilisation - A & E and Outpatient Attendance
4,Health,4.09,Health Care Financing
4,Health,4.1,Government Expenditure on Health
4,Health,4.11,Health Related Licenses
4,Health,4.12,Immunisation by Public and Private Sectors
4,Health,4.13,Immunisation Coverage for Children at 2 Years of Age
4,Health,4.14,Student Health
4,Health,4.15,"Common Health Problems of Students Examined Per 10,000 Males and Females Examined"
4,Health,4.16,National Health
5,Household Income and Household Expenditure,5.01,Household Characteristics
5,Household Income and Household Expenditure,5.02,Household Income from Work by Characteristics of Households
5,Household Income and Household Expenditure,5.03,Household Income from Work by Deciles
5,Household Income and Household Expenditure,5.04,Inequality Measures of Household Income from Work
6,Society and Community,6.01,Religion Related Services and Assistance
6,Society and Community,6.02,Zakat Administration
6,Society and Community,6.03,Haj Applicants/ Pilgrims
6,Society and Community,6.04,Madrasah Teachers/ Students
6,Society and Community,6.05,Grassroots Organisations and Leaders
6,Society and Community,6.06,"PA Activities, Courses and Membership"
6,Society and Community,6.07,Volunteers and Volunteer Groups
6,Society and Community,6.08,Family Services
6,Society and Community,6.09,Social Assistance and Support
6,Society and Community,6.1,Social Attitudes
6,Society and Community,6.11,Marriage and Parenthood
6,Society and Community,6.12,Child Welfare and Youth
6,Society and Community,6.13,Sheltered Homes/ Welfare Homes
6,Society and Community,6.14,Charities and Institutions of a Public Character
6,Society and Community,6.15,Gambling and Related Issues
6,Society and Community,6.16,Work-Life Harmony
6,Society and Community,6.17,"Senior Citizens - Financial, Physical and Social Health"
6,Society and Community,6.18,Social Service Sector Manpower and Scholarships
6,Society and Community,6.19,National Council of Social Service
6,Society and Community,6.2,Lasting Power of Attorney
7,Housing and Urban Planning,7.01,Household and Housing
7,Housing and Urban Planning,7.02,Properties Under the Management of Housing & Development Board
7,Housing and Urban Planning,7.03,Housing & Development Board Resale Market Statistics
7,Housing and Urban Planning,7.04,Urban Planning
7,Housing and Urban Planning,7.05,Car Park and Parking Fines Information
7,Housing and Urban Planning,7.06,Real Estate Data
7,Housing and Urban Planning,7.07,Flatted Factory Space
7,Housing and Urban Planning,7.08,Standard Factory Space
7,Housing and Urban Planning,7.09,Industrial Land
7,Housing and Urban Planning,7.1,Land Administration Data
7,Housing and Urban Planning,7.11,Technopreneur Space
7,Housing and Urban Planning,7.12,Business Park Space
7,Housing and Urban Planning,7.13,Business Park Land
7,Housing and Urban Planning,7.14,Flatted Factory
7,Housing and Urban Planning,7.15,Workshop
7,Housing and Urban Planning,7.16,Warehouse
7,Housing and Urban Planning,7.17,Caveat Property
7,Housing and Urban Planning,7.18,Key Performance Indicators for Prepared Industrial Land (PIL)
7,Housing and Urban Planning,7.19,Key Performance Indicators for Ready-Built Facilities (RBF)
7,Housing and Urban Planning,7.2,Gross Allocation By Industry
7,Housing and Urban Planning,7.21,Returns By Industry
7,Housing and Urban Planning,7.22,Productivity Table For Manufacturing Sector
8,"Justice, Crime and Crisis Management",8.01,"Bankruptcy Petitions and Applications, Orders Made and Discharges"
8,"Justice, Crime and Crisis Management",8.02,"Compulsory Winding Up Applications, Orders Made and Dissolution of Companies"
8,"Justice, Crime and Crisis Management",8.03,Estate Information
8,"Justice, Crime and Crisis Management",8.04,Moneylenders' and Pawnbrokers' Licences Details
8,"Justice, Crime and Crisis Management",8.05,Crime Statistics
8,"Justice, Crime and Crisis Management",8.06,Emergency and Crisis Management
8,"Justice, Crime and Crisis Management",8.07,Prisoners Data
8,"Justice, Crime and Crisis Management",8.08,Caseload Figures
8,"Justice, Crime and Crisis Management",8.09,Information on Legal Entities
8,"Justice, Crime and Crisis Management",8.1,Immigration Offences
9,Culture and Recreation,9.01,Media Licensing and Permit Particulars
9,Culture and Recreation,9.02,The Arts and Cultural Heritage
9,Culture and Recreation,9.03,"National Library Membership, Book Collection and Loan of Library Materials"
9,Culture and Recreation,9.04,Recreation Activities and Membership
9,Culture and Recreation,9.05,Sports Facilities and Participation
9,Culture and Recreation,9.06,Sports and Community Bonding
9,Culture and Recreation,9.07,National Monuments
9,Culture and Recreation,9.08,Media Personnel and Organisations
9,Culture and Recreation,9.09,Information on National Parks
9,Culture and Recreation,9.1,Media Classification Details
10,Macroeconomic Statistics,10.01,Indigenous GNI and Per Capita Indigenous GNI and GDP
10,Macroeconomic Statistics,10.02,Per Capita GNI and Per Capita GDP
10,Macroeconomic Statistics,10.03,Principal Manufacturing Statistics
10,Macroeconomic Statistics,10.04,Gross Operating Surplus Per Unit Output Ratio of Manufacturing
10,Macroeconomic Statistics,10.05,Selected Averages and Ratios in the Manufacturing Sector
10,Macroeconomic Statistics,10.06,Principal Services Statistics
10,Macroeconomic Statistics,10.07,Singapore Investment Abroad
10,Macroeconomic Statistics,10.08,Total External Trade by Type
10,Macroeconomic Statistics,10.09,Composite Leading Index
11,Economic Accounts: National Accounts and Input-Output Tables,11.01,Income Components of Gross Domestic Product
11,Economic Accounts: National Accounts and Input-Output Tables,11.02,Expenditure on Gross Domestic Product
11,Economic Accounts: National Accounts and Input-Output Tables,11.03,Changes in Total Demand
11,Economic Accounts: National Accounts and Input-Output Tables,11.04,Contribution to Growth in Total Demand
11,Economic Accounts: National Accounts and Input-Output Tables,11.05,Gross Fixed Capital Formation
11,Economic Accounts: National Accounts and Input-Output Tables,11.06,Deflators of Expenditure on Gross Domestic Product
11,Economic Accounts: National Accounts and Input-Output Tables,11.07,Private Consumption Expenditure
11,Economic Accounts: National Accounts and Input-Output Tables,11.08,"Output, Saving and Investment"
11,Economic Accounts: National Accounts and Input-Output Tables,11.09,Multifactor Productivity: Contributions to Growth in Real GDP
11,Economic Accounts: National Accounts and Input-Output Tables,11.1,Gross Domestic Product by Industry
11,Economic Accounts: National Accounts and Input-Output Tables,11.11,Gross Domestic Product Deflators by Industry
11,Economic Accounts: National Accounts and Input-Output Tables,11.12,Contribution to Growth in Gross Domestic Product by Industry
11,Economic Accounts: National Accounts and Input-Output Tables,11.13,Changes in Labour Productivity by Industry
11,Economic Accounts: National Accounts and Input-Output Tables,11.14,Changes in Value Added Per Hour Worked by Industry
